Vineyard Name,Vineyard County,Vineyard Postcode,Vineyard Country,Website Address,Ha of planted vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adgestone Vineyard,Isle of Wight,PO36 0ES,England,www.adgestonevineyard.co.uk,3.5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alara Wholefoods Vineyard,London,NW1 0PF,England,www.alara.co.uk,0.0350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albourne Estate,West Sussex,BN6 9DX,England,www.albourneestate.co.uk,12.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albourne Vineyard,West Sussex,BN6 9BX,England,twitter.com/albournevineyrd,0.2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albury Organic Vineyard,Surrey,GU5 9BW,England,www.alburyvineyard.com,4.9487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alder Ridge Vineyard,Berkshire,RG17 0SP,England,www.cobbsfarmshop.co.uk,2.9008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alder Vineyard,Devon,EX20 4PJ,England,aldervineyard.uk,1.4690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldwick Estate,North Somerset,BS40 5AL,England,www.aldwickestate.co.uk,4.5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Road Allotments Vineyard,Surrey,KT17 4EQ,England,alexallotment.wordpress.com/vineyard,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Althorne Estate Vineyard,Essex,CM3 6EW,England,,1.4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Valley Wines - Doehole,Derbyshire,DE55 6ED,England,www.ambervalleywines.co.uk,0.6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancre Hill Vineyard - Newton Court Vineyard,Monmouthshire,NP25 3SP,Wales,www.ancrehillestates.co.uk,8.5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancre Hill Vineyard - Rockfield Road Vineyard,Monmouthshire,NP25 5HS,Wales,www.ancrehillestates.co.uk,3.4224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annevilles, Les",Guernsey,GY7 9JR,Channel Isles,,0.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artelium Wine Estate (Ditchling),East Sussex,BN6 8SA,England,,7.0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artelium Wine Estate (Madehurst),West Sussex,BN18 0NJ,England,,10.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artizan Cru,East Sussex,Not known,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby Valley,Norfolk,NR14 7BW,England,,0.7390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashcot Vineyard,Devon,EX14 9SY,England,,4.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashcott Vineyard,Devon,Not known,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashleworth Manor Vineyard,Gloucestershire,GL19 4LA,England,,0.0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashling Park Vineyard,West Sussex,PO18 8DP,England,www.ashlingpark.co.uk,5.2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashling Park Vineyard - Coldharbour Vineyard,West Sussex,RH20 1PR,England,,8.3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashwell Vineyard,Devon,TQ13 9EJ,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astley Vineyards,Worcestershire,DY13 0RU,England,www.astleyvineyard.co.uk,2.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aunemouth Vineyard,Devon,TQ7 3AD,England,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon Vineyard,Somerset,BA4 6UA,England,www.pennardorganicwines.co.uk,0.6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avonleigh Orchards,Wiltshire,BA15 2RD,England,,1.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avonwood Vineyard,"Bristol, City of",BS9 1PH,England,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babu's Vineyard,Norfolk,NR9 5LF,England,www.Babusvineyard.co.uk,0.2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachella Vineyard and Winery,London,Not known,England,,Not known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Hills Vineyard,Hertfordshire,CM23 1JG,England,,1.3306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballydrehid House Estate Vineyard,County Tipperary,Ireland,Ireland,,Not known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardfield Vineyard,Essex,CM7 4QD,England,www.greatlodge.co.uk,0.7400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardingley Vineyard,Kent,TN12 0EG,England,www.bardingley.com,0.4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardsley Farms Vineyard,Kent,TN12 0RW,England,www.bardsley-england.com,6.8828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barebones Vineyard,Somerset,TA10 9DN,England,,1.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barlavington Vineyard,West Sussex,GU28 0LF,England,,5.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnsole Vineyard,Kent,CT3 1LG,England,www.barnsole.co.uk,2.3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barons Place Vineyard,Kent,ME18 5NF,England,www.hughlowefarms.com,3.5820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartley Mill Vineyard,Kent,TN3 8BH,England,,2.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Sparkling Wine (Corston Fields),BANES,BA2 9EZ,England,www.bathsparklingwine.co.uk,Not known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baynhams Vineyard,Herefordshire,HR9 7RF,England,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Down Vineyard,East Sussex,TN21 0QJ,England,www.beacondown.co.uk,2.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearley Vineyard,Warwickshire,CV37 0SR,England,www.bearleyvineyard.co.uk,0.4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaulieu Vineyard,Hampshire,SO42 7ZN,England,www.beaulieu.co.uk,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee Tree Vineyard,East Sussex,RH17 7QS,England,www.vine-works.com,1.5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeches Vineyard,Herefordshire,HR9 7UD,England,www.beechesvineyard.com,0.3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beechtree Vineyard,Herefordshire,HR9 6BW,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh Manor Vineyard,Devon,TQ9 7EF,England,,0.1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belvoir Castle Vineyard,Leicestershire,NG32 1PE,England,,2.0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewl Water Vineyard,East Sussex,TN5 6EX,England,,2.6135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biddenden Vineyard,Kent,TN27 8DF,England,www.biddendenvineyards.com,8.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biffo Vineyard,East Sussex,Not known,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billings Group,Kent,DA3 8PJ,England,,9.9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilting Vineyard,Kent,Not known,England,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchenwood Vineyard,Hampshire,SO43 7JA,England,www.birchenwood.com,2.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birlingham Vineyard,Worcestershire,WR10 3AF,England,,0.1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivelham Vineyard,East Sussex,TN19 7JN,England,,0.1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blabers Hall,Warwickshire,CV7 8EP,England,facebook.com/blabersHallWineEstate,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Chalk Wines (Cottonworth Vyd),Hampshire,SP11 7JX,England,www.blackchalkwine.co.uk,12.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Dog Hill Vineyard,East Sussex,BN6 8XG,England,www.blackdoghillvineyard.com,6.4751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Mountain Vineyard,Herefordshire,HR2 0RE,England,blackmountainvineyard.co.uk,1.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackbarn Farm Vineyard,Essex,CM3 6HF,England,,0.6070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackboys Vineyard (Tickerage Wines),East Sussex,TN22 5LT,England,www.sussexsparklingwines.com,2.1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackdown Ridge Estate,West Sussex,GU27 3BT,England,www.blackdownridge.co.uk,4.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluebell Vineyard Estates,East Sussex,TN22 3RU,England,www.bluebellvineyard.co.uk,24.3521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluestone Vineyards,Wiltshire,SP4 0EW,England,www.bluestonevineyards.co.uk,3.9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolney Wine Estate,West Sussex,RH17 5NB,England,www.bolneywineestate.com,16.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolney Wine Estate - Pookchurch Vineyard,East Sussex,RH17 5JB,England,www.pookchurch.co.uk,26.2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton Castle Vineyard,North Yorkshire,DL8 4ET,England,www.boltoncastle.co.uk,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosue Vineyard,Cornwall,PL26 6EU,England,www.bosuevineyard.co.uk,1.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothy Vineyard,Oxfordshire,OX13 6QW,England,www.bothyvineyard.co.uk,2.0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow-in-the-Cloud Vineyard,Wiltshire,SN16 9NS,England,www.bowinthecloud.co.uk,1.2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brabourne Vineyard (Court Lodge Farm),Kent,TN25 5LR,England,www.brabournewine.com,0.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradfields Vineyard,Somerset,TA4 1HR,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaky Bottom Vineyard,East Sussex,BN7 3EX,England,www.breakybottom.co.uk,2.4282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bredon Hill Estate Vineyard,Worcestershire,WR10 3DN,England,,1.4642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bredon Vineyard,Worcestershire,GL20 7ER,England,,0.0670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breezy Ridge Vineyard,Dorset,SP7 0LX,England,facebook.com/Breezyridgevineyard,1.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenley Vineyard,Kent,ME13 9LY,England,www.brenley-farm.co.uk,24.1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretts Hall Vineyard (Butterfield - Tudwick),Essex,CO16 0BJ,England,,3.1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brick House Vineyard,Devon,EX6 8HP,England,www.brickhousevineyard.co.uk,0.6552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bride Valley Vineyard,Dorset,DT2 9AW,England,www.bridevalleyvineyard.com,10.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridewell Organic Gardens,Oxfordshire,OX7 3EB,England,www.bridewellorganicgardens.co.uk,0.9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightwell Vineyard,Oxfordshire,OX10 8LJ,England,www.brightwellvineyard.co.uk,5.7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigstock Vineyard,Northamptonshire,NN14 3ET,England,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brindiwell Vineyard,Devon,EX17 4HR,England,,2.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brinsbury College Vineyard,West Sussex,RH20 1DL,England,,1.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brissenden Vineyard,Kent,ME17 3DU,England,www.brissendenvineyard.com,2.6510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brixworth Vineyard,Northamptonshire,LE16 8JT,England,,6.7013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadfield Court Vineyard,Herefordshire,HR1 3LG,England,www.broadfieldcourt.com,5.4656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockbury Hall Vineyard,Herefordshire,WR13 6EH,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromley Brook Vineyard,Essex,CO7 7TN,England,,2.2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromley Brook Vineyard (The Hollies),Essex,CO7 7TN,England,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brook Hill Vineyard,Hampshire,SO43 7SB,England,facebook.com/BrookHillWine,1.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brook House Farm Vineyard,Herefordshire,HR7 4LB,England,,0.1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broxbournebury Vineyard,Hertfordshire,EN11 8LS,England,www.broxbournebury.co.uk,1.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brynne Vineyard,Northamptonshire,NN6 9UY,England,www.brynnevineyard.com,1.2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckley Vineyard,Devon,EX10 0SL,England,,0.1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckswood School Vineyard,East Sussex,TN35 4LT,England,www.buckswood.co.uk,0.3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budds Farm Vineyard,Kent,TN30 7EL,England,,1.8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugsell Park Vineyard,East Sussex,TN32 5EN,England,,0.2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Valley Vineyard,Norfolk,NR21 9LE,England,www.burnvalleyvineyard.co.uk,3.7360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnhill Vineyard,Worcestershire,Not known,England,,Not known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt Foot Vineyard,Suffolk,IP13 8HA,England,,0.6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burons, Les Vineyard",Jersey,JE3 6UR,Channel Isles,,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrow Cross Vineyard,Devon,EX11 1PZ,England,,0.7644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwash Weald Vineyard,East Sussex,TN19 7LA,England,,1.2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busi-Jacobsohn Wine Estate,East Sussex,TN3 9HX,England,www.busijacobsohn.com,4.1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buzzard's Valley Vineyard,Staffordshire,B78 3EQ,England,www.buzzards-valley.co.uk,2.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesar's Camp Vineyard,Bedfordshire,SG19 2AD,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calancombe Vineyard,Devon,PL21 0TU,England,www.calancombe-estate.com,7.6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calleva Wine,Hampshire,RG7 2PS,England,,2.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambas Vineyard (West End Farm Vineyard),Suffolk,IP14 2NF,England,,8.8880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel Valley Vineyard,Cornwall,PL30 5LG,England,www.camelvalley.com,6.7100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carden Park Vineyard,Cheshire,CH3 9DQ,England,www.cardenpark.co.uk,1.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carey Valley Wines (Uphill Vineyard),Devon,EX21 5EN,England,www.careyvalleywines.co.uk,0.4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton Towers Walled Garden Vineyard,East Yorkshire,DN14 9LZ,England,www.carltontowers.co.uk,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carr Taylor Vineyard,East Sussex,TN35 4SG,England,www.carr-taylor.co.uk,15.6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casterbridge Vineyard,Dorset,DT2 9PR,England,,0.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Brook Vineyard,Herefordshire,HR9 5SG,England,www.castlebrookvineyard.co.uk,1.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castlewood Vineyard,Devon,EX13 8SS,England,www.castlewoodvineyard.co.uk,1.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic Marches ,Herefordshire,WR6 5BS,England,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chafor Wine Estate - High Hedges Vyd,Buckinghamshire,MK18 4HT,England,www.chafor.co.uk,2.9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
